ids,x,y
4,1.76178438908607,-0.251489196798918
14,0.824742775057622,-0.29071844311402
7,0.844476995705376,0.529377530680938
12,1.79058461777785,0.587012307866857
18,2.23819580274513,1.0418565385325
2,2.48825180131989,-0.0502024251969986
11,2.47528556612856,0.741300983235818
9,3.23771557299412,1.1530001059088
8,2.90560997896874,1.61851588361104
10,2.51657511198119,1.54282862303648
15,1.84049143816045,1.53193790663944
3,2.47764157024037,2.34264830986357
6,2.84497424515733,2.33959316915246
19,1.81919340680593,2.26919373735491
0,3.45120179066891,1.67030841542417
5,3.19558195975941,2.04284973122434
1,1.14269356600717,1.91360592685118
17,1.19297867946507,1.43272542646873
13,0.500015384610779,0.818304622945631
